Index	Longitude	Latitude	Depth	Salinity_current	Temperature_current	Salinity_future	Temperature_future	Fucus_vesiculosus_bio	Idotea_baltica_abu	POINT_X	POINT_Y
1	14.28	55.46	0.2	7.3724327087	15.2927026749	5.0210528374	16.3629722595	760.75	66.67	-113627.934199996	6190269.23629999
2	14.28141	55.46546	1	7.3718595505	15.2175559998	5.0212388039	16.3165740967	26.21	175.00	-113451.6519	6190858.7155
3	14.2853	55.46463	3.1	7.3705091476	15.1726551056	5.0203709602	16.2880706787	0.00	900.00	-113221.184500001	6190731.576
4	14.28758	55.46403	5	7.3700413704	15.1374406815	5.0205764771	16.2630901337	0.00	1033.33	-113087.923699997	6190644.5386
5	14.29172	55.46301	8	7.3694272041	15.1121644974	5.0208120346	16.2422580719	0.00	141.67	-112844.819700002	6190494.17249999
6	14.33572	55.58382	2	7.4123592377	14.8323059082	5.0380063057	16.2356204987	11.49	550.00	-108152.711900003	6203422.4508
7	14.33671	55.58416	5	7.4123592377	14.8323059082	5.0380063057	16.2356204987	0.00	158.33	-108085.4032	6203450.98719999
8	14.33907	55.57805	5	7.3950400352	14.8358697891	5.0257415771	16.2061786652	0.00	3583.33	-108035.690300002	6202755.48259999
9	16.91162	58.32999	1.3	6.4127373695	17.8727989197	4.2270541191	18.3314113617	5.54	0.00	85500.1899999976	6487409.83619999
10	16.91183	58.37609	2.2	6.4228782654	18.3047885895	4.2142977715	18.6750450134	33.62	0.00	86053.9892999976	6492514.42419999
11	16.91274	58.33555	1.2	6.408469677	17.8862380981	4.2240777016	18.349817276	0.00	47.00	85630.7475000023	6488018.7234
12	16.9128	58.3316	3.1	6.4118523598	17.8761291504	4.2265133858	18.3354225159	0.00	0.00	85587.8457999974	6487580.8634
13	16.91295	58.34328	3.4	6.4036326408	17.9764671326	4.2150144577	18.4615516663	0.00	0.00	85733.7744999974	6488873.57649999
14	16.9139	58.37539	1.6	6.4228782654	18.3047885895	4.2142977715	18.6750450134	9.44	0.00	86166.2053000032	6492424.1217
15	16.91877	58.37938	1.9	6.4291620255	18.3136787415	4.2210888863	18.6349201202	0.00	0.00	86496.3867999985	6492836.01139999
16	16.92322	58.37613	2.2	6.4138889313	18.2086143494	4.2166924477	18.5851459503	425.26	0.00	86717.1577000021	6492448.6211
17	16.92376	58.38228	2.2	6.4366664886	18.343164444	4.2256507874	18.6249885559	49.37	0.00	86820.7032999992	6493126.46209999
18	16.93798	58.34768	1.3	6.3874182701	17.823348999	4.2208714485	18.2678794861	55.21	846.00	87242.9575000032	6489206.6138
19	16.93861	58.34737	2.5	6.3874182701	17.823348999	4.2208714485	18.2678794861	164.25	532.67	87276.0151999965	6489168.40129999
20	16.93887	58.34924	6	6.3874650002	17.8457202911	4.219315052	18.2959938049	312.25	0.00	87313.0399999991	6489373.9254
21	16.93892	58.34665	1.8	6.3875398636	17.8008060455	4.2225131989	18.2394218445	2.44	47.00	87285.6410000026	6489086.7457
22	16.93955	58.31443	2.2	6.3905973434	17.379529953	4.2486543655	17.7411613464	66.02	47.00	86945.2950000017	6485514.13599999
23	16.9424	58.3486	2	6.3847975731	17.7964744568	4.2220277786	18.2316970825	38.70	94.00	87511.1022000014	6489281.3251
24	16.94609	58.41043	0.9	6.3831892014	18.0327720642	4.2215261459	18.3506679535	0.00	0.00	88448.8308999985	6496107.11089999
25	16.94992	58.3115	0.8	6.3811860085	17.1770782471	4.2576079369	17.4945430756	104.31	47.00	87515.4936000034	6485125.7894
